Video Name,Channel Name,User Name,Comment,Likes,Date,Score,Status Level,Triggered Keywords
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@jaubrey,Huge thanks to Aura for sponsoring this one! Get a 14-day free trial today when you use my link https://aura.com/jaubrey and find out if your information is already being sold online!,612,2024-10-18T23:16:30Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@lavinialeybovich3142,Emkay is slazo??? Damn thats crazy,0,2025-10-01T03:25:39Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@nikki_t424,"Rip slazo he will forever be in my heart, hope Micheal is living well",0,2025-09-21T16:53:56Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@fiofiofioletta1898,Why is it always the squirrely little guys who are so vicious?,3,2025-09-14T03:35:50Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@RejectKids,42:36 that “WHAT?!?” Kills me every time😂,0,2025-09-11T19:27:36Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@SnepperStepTV,"its like, sea of people i've never heard of and glad i never heard of then all of a sudden bam there's this guy from something i actually saw. fantastic",0,2025-09-09T22:17:04Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@janie7195,The actions from slazo are far from innocent and he shows every sign of being a toxic partner and a dangerous person can it yall aren’t ready for that conversation yet are you,0,2025-09-09T19:27:53Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@JeanetteJ-p8g,That pussy is good lookin,0,2025-09-03T14:34:27Z,10,Dangerous,pussy
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@Shipoy2000,Im a nurse. And the moment IamAlexx said Ed was sociopath even though he had APD is ridiculous. No Psychiatrist would ever diagnose you with sociopathy. Sociopathy is such a outdated term within the medical community. One of the things that convince me IamAlexx is a bullshit talker.,2,2025-08-30T13:15:22Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@JTheBartender,I'm late but having the adam voice clip and then the Ethan voice slip one after another in the intro is crazy lmao,0,2025-08-27T22:46:36Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@nonotnoah,"He clearly has Narcissistic personality disorder. So happy for Alice she came out of that hellhole, all power. I recently did too and feel happier and healthier than ever. 

These soulsuckers literally take out all their own anger that is caused by their own incompetence and insecurities on to their unfortunate scapegoat (Alice in this case) and belittle, name call, gaslight, and project their issues. So glad Alice was heard and supported by everyone. I wish I could expose my abuser just like this too, must feel so satisfying",0,2025-08-17T11:28:59Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@xerorage9042,old man that knows how to build and mantain discord mega servers=please kill me...spare me the pain...i wish i was Colossal...sigh,0,2025-08-13T22:54:55Z,21,Dangerous,"old, discord, kill, please"
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@jessewh1te,"His ""response"" not apology, has like, 40K to 9K downvotes to likes.",1,2025-08-09T07:10:58Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@zhanna7307,Chey is such a a grifter. Just jealous of Slazos YT channel smh,1,2025-08-01T15:48:50Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@zvvilq63,the clip of him singing cavetown at the end is just *chefs kiss*,0,2025-07-31T22:32:42Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@aware0wolf,"1:32 SPEAK FOR YOURSELF LOL
good video otherwise.",0,2025-07-28T04:19:02Z,2,Safe,yourself
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@breakingoblivion,i clicked on this expecting your typical sorta youtuber drama and holy shit was i surprised. i hope his victims find the peace and healing they deserve.,0,2025-07-25T22:50:23Z,5,Suspicious,shit
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@PrinceSheogorath,"Slazo didn’t deserve that shit. Yea he did dumb stuff but he was young and admitted to doing it not even trying to defend it. This is why I’m not getting into the commentary scene, the fact my life could be ruined by false allegations, which has happened to me before with false pedophilia claims, rubs me too far the wrong way…",0,2025-07-21T04:39:35Z,10,Dangerous,"young, shit"
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@maybeovercompensate,That song at the end was worse than slowly shaving my skin off with a cheese grater,0,2025-07-18T21:48:00Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@goosemomof6712,"Great video. I feel like I fell off the planet because I didn’t even know this happened. I follow Kateclyzm and I saw her mention him, so I started googling and found this video.. sir, I watched it entirely, great job! And I’m so upset that he turned out to be such a dirtbag! I used to be subbed to him. Going to unsubscribe immediately, not that he’ll be back. I’ve given you my sub instead. 😉👍 I truly hope he gets help. I hope that he can see the truth, that he needs to work on himself with a professional and not get into any other relationships until he’s grown enough to handle his feelings and anger. So incredibly sad. My hope is that everyone heals and grows from all of this. ❤️",0,2025-07-18T20:27:15Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@dannis.1370,He literally acts like a wannabe anime villain 😭,0,2025-07-18T14:04:04Z,3,Safe,anime
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@exaggeratedswagger7485,This type of editing is so annoying,1,2025-07-17T13:14:45Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@bigsad4372,"jesus i never heard of what the psycho did to alice, that poor woman.. shes so damn strong to put up with that monster for so long",0,2025-07-15T21:55:02Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@Desaree1,Perfect timing. What a great video to watch during coffee time!! Thanks for having many interesting videos up each week..,0,2025-07-14T13:45:32Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@MenAreFromVenus,Alice is SO gorgeous for a teen,0,2025-07-05T09:25:36Z,5,Suspicious,teen
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@lilliylil-lie43,Why did you give him nice teeth in the thumbnail,0,2025-07-02T19:52:21Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@amhuir9648,"0:40 Talking about the era of the commentary community (2016), it was an absolute Gamer gunk sausagefest. It has a worse scent to it than any stereotypical anime convention could have. In its prime it was an edgelords' golden days. Vaperwave, Trolling, Edgyness, angst, bigotry, weeaboo, Gamergate, mad gatekeeping ect...",2,2025-06-30T22:55:05Z,3,Safe,anime
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@FugueGlitch,"Why would anyone tell Keemstar anything, that guy is basically a verbal terrorist. He'll take whatever you say and twist it to be a 1000x worse.",1,2025-06-26T08:22:26Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@KizzyJay,I would watch your video but this hyperedited bullshit is giving me a headache,0,2025-06-13T16:19:06Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@sillylove3229,I will forever be bewildered by the amount of people that we make famous turn out to be absolutely disgusting human beings. Influencers and celebrities are just scary at this point.,1,2025-06-12T13:53:51Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@d.trance6637,I m Ieam IMALEXX. Hoping that this WOKE Bullsit Generation will be over soon !!!,1,2025-06-08T20:17:02Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@urbroz,"my bf quotes ""FUCKING URNIAL CAKE"" all the time now..",1,2025-06-05T20:20:25Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@FriendlyArin,"The Zaptie situation makes me so mad. He confided in his good friend thst he was having mental health issues, and so Alex turns around and immediately tells everyone and ruins his life. He acts like the man committed a crime, all he did was have a mental illness!",0,2025-06-03T01:34:48Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@ScatterBrainedYouBetterFollow,Bro social media numbers are like hypnosis to girls 💀💀,0,2025-06-02T22:22:28Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@ScatterBrainedYouBetterFollow,are you alone cutie,0,2025-06-02T21:36:15Z,12,Dangerous,"cutie, alone"
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@johnlinn,He is a great example of the state of British dentistry.,1,2025-05-30T22:24:46Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@brunopelletier5701,"""You face is annoying"" says the guy who looks like a legit goblin and the stereotypical british archetype. I truly dont understand how a guy like that ended up with a girl like that",4,2025-05-21T23:52:54Z,3,Safe,girl
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@teaevans-ng9kd,"reading the way he talks to her is genuinely scary, let alone HEARING it. i hope he is alone for the rest of his life because there is no coming back from that",2,2025-05-14T06:46:05Z,3,Safe,alone
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@PterodactylPtail,This guy seriously creeps me out and my heart breaks for Alice 1:06:56,0,2025-05-05T22:55:02Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@jay-desu,bro that fking thumbnail 😭,0,2025-05-05T21:28:16Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@FP7Lifts,Man 2019 british youtube was something. I miss 6 years ago,0,2025-05-05T01:44:21Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@trashhuman6237,ofc i finally watch this video today cause i was putting it off then i see alex just uploaded again 13 MINUTES AGO 😭 ugh i think i accidentally summoned him,2,2025-05-01T21:15:50Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@Pretermit_Sound,"41:39 wow 😯 didn’t know he was involved with emkay. Been subscribed to that channel for a long time. Didn’t know who Slazo was before this video. To be honest, I don’t usually know who a lot of these people are, aside from some of the bigger names until I watch your videos, but still love your work jaubrey 👍",0,2025-05-01T03:28:10Z,1,Safe,love
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@Andr0meda_,"I've always mentally pictured you as MatPat, my brain is struggling lol",4,2025-04-29T00:01:40Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@bronbron123,You really had to be there,0,2025-04-28T21:22:05Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@0TheJigsawKiller0,it's pretty crazy to see alex still uploading videos and it's even crazier seeing people in his comments defending him. what's not crazy is how hard all of his videos are flopping,4,2025-04-28T14:19:35Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@DeMorayRecords,"Alex: Calls Alice stupid and illiterate.
Alice: Drops 82 pages of comprehensive concrete evidence that he is an abusive, brainlet scumbag that would typically require an entire legal team to compile. Homegirl had the clapback of the century. ☠️",4,2025-04-24T21:56:31Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@hollierose7814,"i couldve sworn ive been subscribed to you since way before, but your videos are so good! i love the way you explain things, it soothes my brain somehow. this whole debacle is terrible honestly, and ive seen it covered by other creators, but never in depth like this. thank you!",1,2025-04-23T16:13:07Z,1,Safe,love
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@alejandrorodriguez2338,"Alright, long shot. But it's been bugging me that I don't know what the song that plays at around 3:10 to about 4:15.I checked the track list and it wasn't there, so if somebody knows pls, let me know. Thank you",0,2025-04-23T04:53:33Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@eggmon420,I feel so devastated for everyone who was involved with him and received this sort of treatment. I hope they're all able to find their peace. <3,0,2025-04-21T18:40:00Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@janaegal9869,this is the longest intro ever like just get to the point my guy,4,2025-04-20T20:37:40Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@j.s.2281,Of all the things idubbbz has done this is the one I will never forgive😅,2,2025-04-20T14:17:41Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@shiva_hardly_sarcastic,"slazo is sooo smart to always emphasize that he doesn't know why ImAllexx would lie about things, comes off so much more reasonable than just saying out loud that ImAllexx would lie to manipulate others.",0,2025-04-17T21:22:29Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@j.s.2281,8:35 his mouth is being animated from a South Park episode. God this guy has always creeped me out.😅,1,2025-04-17T05:32:25Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@falloutsheppy8823,Part 2 when?,1,2025-04-16T20:55:03Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@david-kt2tb,"i watched every pyro leafy and rice video when i was 12. unsurprisingly, pyro was the only one to survive",0,2025-04-15T02:20:38Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@rabbiter1089,imagine sitting there with your expensive youtuber merch when you could have got a hoodie or something for 20 bucks and not had it be associated with a horrible person who overcharges for terrible quality,0,2025-04-13T20:18:22Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@melvsratz4059,"'Every single American, that's you' 
Me, an Italian: wow",1,2025-04-13T13:15:26Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@Kikolonius,"Damn the Outro song caught me, I didn't really remember how much I watched him, memeouls and phyro.... man bring us back to 2016 💔",0,2025-04-11T09:25:13Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@ShadowClawWolf09,"So he abuses her and police do nothing, JUSTICE EVERYONE, GOTTA FUCKIN LOVE IT, OH YEAH REALLY FEELING IT, REALLY SHOWS YOUNGER KIDS YOU CAN GET AWAY WITH ANYTHING AS LONG AS IT'S IN A FUCKIN RELATIONSHIP!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ALSO IT'S NOT ALLEGEDLY, YOU'RE SHOWING FUCKIN SCREENSHOTS OF HIM THREATENING HER,",0,2025-04-08T21:47:43Z,1,Safe,love
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@T.M.Warren-qp2gq,*Zero sympathy for these shallow vapid people!*  💯,0,2025-04-07T23:02:46Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@diminie_chimket,"Nothing is wrong with J's thumbnails, y'all are just scared of everything 😂😂😂 And that stupid complaint about nothing makes it seem like you don't care about the content IN the video and simply want something to bitch about.",1,2025-04-06T15:20:13Z,9,Suspicious,"bitch, want"
